occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
        Occupational therapy aides,31-2012,5.2,5.3,0.1,2.5,37370.0,High school diploma or equivalent,0.6,0.27,Occupational therapy aides,Low,31,Healthcare Support,1.0,0.036703319079617186,0.16666666666666666,0.10168499287314192,False,Growing,0.15,0.12
        Physical therapist assistants,31-2021,111.5,136.0,24.5,22.0,65510.0,Associate's degree,19.8,0.018,Physical therapist assistants,Low,31,Healthcare Support,3.0,0.1799531663612299,0.5,0.33997658318061497,False,Growing,0.17,0.17
        Physical therapist aides,31-2022,45.6,46.9,1.3,2.8,34520.0,High school diploma or equivalent,6.6,0.61,Physical therapist aides,Medium,31,Healthcare Support,1.0,0.02219507228670331,0.16666666666666666,0.09443086947668498,False,Growing,0.15,0.12
      Massage therapists,31-9011,168.0,193.9,25.9,15.4,57950.0,Postsecondary nondegree award,24.7,0.54,Massage therapists,Medium,31,Healthcare Support,,0.14146813276318468,0.16666666666666666,0.15406739971492567,False,Growing,0.17,0.17
        Dental assistants,31-9091,381.9,406.3,24.4,6.4,47300.0,Postsecondary nondegree award,52.9,0.51,Dental assistants,Medium,31,Healthcare Support,,0.08725310527387498,0.16666666666666666,0.1269598859702708,False,Growing,0.155,0.14
        Medical assistants,31-9092,811.0,912.2,101.2,12.5,44200.0,Postsecondary nondegree award,112.3,0.3,Medical assistants,Medium,31,Healthcare Support,,0.07147220525351253,0.16666666666666666,0.11906943596008959,False,Growing,0.35,0.38
        Medical equipment preparers,31-9093,76.5,84.2,7.6,10.0,46490.0,High school diploma or equivalent,10.9,0.78,Medical equipment preparers,High,31,Healthcare Support,1.0,0.08312970881694157,0.16666666666666666,0.12489818774180411,True,Growing,0.15,0.12
        Medical transcriptionists,31-9094,43.9,41.8,-2.2,-4.9,37550.0,Postsecondary nondegree award,7.4,0.89,Medical transcriptionists,High,31,Healthcare Support,,0.03761962940338018,0.16666666666666666,0.10214314803502342,True,Declining,0.53,0.61
        Pharmacy aides,31-9095,41.1,41.1,-0.1,-0.1,37000.0,High school diploma or equivalent,6.1,0.72,Pharmacy aides,High,31,Healthcare Support,1.0,0.034819792302993285,0.16666666666666666,0.10074322948482997,True,Declining,0.15,0.12
        Veterinary assistants and laboratory animal caretakers,31-9096,117.8,128.1,10.3,8.7,37320.0,High school diploma or equivalent,22.2,0.86,Veterinary assistants and laboratory animal caretakers,High,31,Healthcare Support,1.0,0.036448788434127466,0.16666666666666666,0.10155772755039706,True,Growing,0.14,0.14
        First-line supervisors of correctional officers,33-1011,57.1,55.5,-1.6,-2.8,76310.0,High school diploma or equivalent,4.3,0.025,First-line supervisors of oorrectional officers,Low,33,Protective Service,1.0,0.23493178578700877,0.16666666666666666,0.2007992262268377,False,Declining,0.14,0.13
        First-line supervisors of police and detectives,33-1012,160.8,165.4,4.6,2.9,105980.0,High school diploma or equivalent,10.9,0.0044,First-line supervisors of police and detectives,Low,33,Protective Service,1.0,0.38597027082060686,0.16666666666666666,0.27631846874363675,False,Growing,0.23,0.22333333333333336
      First-line supervisors of firefighting and prevention workers,33-1021,97.2,100.5,3.4,3.4,92430.0,Postsecondary nondegree award,6.5,0.0036,First-line supervisors of fire fighting and prevention workers,Low,33,Protective Service,,0.31699246589289354,0.16666666666666666,0.24182956627978008,False,Growing,0.24,0.3133333333333333
      Firefighters,33-2011,344.9,356.7,11.8,3.4,59530.0,Postsecondary nondegree award,27.1,0.17,Firefighters,Low,33,Protective Service,,0.14951130116065972,0.16666666666666666,0.1580889839136632,False,Growing,0.18,0.21
        Fire inspectors and investigators,33-2021,14.7,15.2,0.6,3.8,78060.0,Postsecondary nondegree award,1.5,0.48,Fire inspectors and investigators,Medium,33,Protective Service,,0.24384035837914883,0.16666666666666666,0.20525351252290774,False,Growing,0.27,0.365
        Forest fire inspectors and prevention specialists,33-2022,2.9,3.3,0.4,14.6,52380.0,High school diploma or equivalent,0.3,0.048,Forest fire inspectors and prevention specialists,Low,33,Protective Service,1.0,0.11311341885563023,0.16666666666666666,0.13989004276114844,False,Growing,0.26,0.42
        Bailiffs,33-3011,19.0,18.6,-0.4,-2.2,57050.0,High school diploma or equivalent,1.8,0.36,Bailiffs,Medium,33,Protective Service,1.0,0.13688658114436977,0.16666666666666666,0.15177662390551822,False,Declining,0.39,0.39
        Correctional officers and jailers,33-3012,387.5,357.4,-30.1,-7.8,57970.0,High school diploma or equivalent,30.1,0.6,Correctional officers and jailers,Medium,33,Protective Service,1.0,0.14156994502138057,0.16666666666666666,0.1541183058440236,False,Declining,0.14,0.13
      Detectives and criminal investigators,33-3021,117.9,117.1,-0.8,-0.7,93580.0,High school diploma or equivalent,7.8,0.34,Detectives and criminal investigators,Medium,33,Protective Service,1.0,0.32284667073915696,0.16666666666666666,0.2447566687029118,False,Declining,0.23,0.2
      Fish and game wardens,33-3031,7.0,6.6,-0.4,-6.0,68180.0,Bachelor's degree,0.5,0.08,Fish and game wardens,Low,33,Protective Service,4.0,0.19354510283038076,0.6666666666666666,0.4301058847485237,False,Declining,0.2,0.21
      Parking enforcement workers,33-3041,8.4,8.2,-0.1,-1.5,47150.0,High school diploma or equivalent,0.7,0.84,Parking enforcement workers,High,33,Protective Service,1.0,0.08648951333740582,0.16666666666666666,0.12657809000203624,False,Declining,0.2,0.21
        Police and sheriff's patrol officers,33-3051,698.8,720.8,22.0,3.1,76290.0,High school diploma or equivalent,53.7,0.098,Police and sheriff's patrol officers,Low,33,Protective Service,1.0,0.23482997352881288,0.16666666666666666,0.20074832009773977,False,Growing,0.23,0.235
        Transit and railroad police,33-3052,3.1,3.2,0.1,3.0,82320.0,High school diploma or equivalent,0.2,0.57,Transit and railroad police,Medium,33,Protective Service,1.0,0.26552636937487273,0.16666666666666666,0.21609651802076968,False,Growing,0.14,0.15
      Animal control workers,33-9011,12.2,12.7,0.5,3.9,45830.0,High school diploma or equivalent,1.3,0.21,Animal control workers,Low,33,Protective Service,1.0,0.07976990429647729,0.16666666666666666,0.12321828548157197,False,Growing,0.2,0.21
      Private detectives and investigators,33-9021,43.6,46.2,2.6,6.0,52370.0,High school diploma or equivalent,3.9,0.31,Private detectives and investigators,Medium,33,Protective Service,1.0,0.11306251272653225,0.16666666666666666,0.13986458969659946,False,Growing,0.39,0.39
        Gambling surveillance officers and gambling investigators,33-9031,10.3,10.3,0.0,0.3,43900.0,High school diploma or equivalent,1.3,0.95,Gaming surveillance officers and gaming investigators,High,33,Protective Service,1.0,0.06994502138057421,0.16666666666666666,0.11830584402362043,True,Growing,0.29500000000000004,0.28
        Security guards,33-9032,1262.1,1267.1,5.1,0.4,38370.0,High school diploma or equivalent,161.0,0.84,Security guards,High,33,Protective Service,1.0,0.04179393198941153,0.16666666666666666,0.1042302993280391,True,Growing,0.2,0.17
        Crossing guards and flaggers,33-9091,91.4,94.7,3.3,3.6,37700.0,No formal educational credential,18.0,0.49,Crossing guards,Medium,33,Protective Service,0.0,0.03838322133984931,0.0,0.019191610669924655,False,Growing,0.2,0.21
"        Lifeguards, ski patrol, and other recreational protective service workers",33-9092,149.7,158.4,8.7,5.8,33720.0,No formal educational credential,42.7,0.67,"Lifeguards, ski patrol, and other recreational protective service workers",Medium,33,Protective Service,0.0,0.018122581958867845,0.0,0.009061290979433922,False,Growing,0.2,0.21
      Chefs and head cooks,35-1011,197.3,211.3,14.0,7.1,60990.0,High school diploma or equivalent,24.4,0.1,Chefs and head cooks,Low,35,Food Preparation,1.0,0.1569435960089595,0.16666666666666666,0.16180513133781307,False,Growing,0.25,0.26
      First-line supervisors of food preparation and serving workers,35-1012,1215.0,1288.0,73.0,6.0,42010.0,High school diploma or equivalent,183.9,0.63,First-line supervisors of food preparation and serving workers,Medium,35,Food Preparation,1.0,0.06032376298106293,0.16666666666666666,0.11349521482386479,False,Growing,0.215,0.225
"        Cooks, fast food",35-2011,669.5,579.2,-90.3,-13.5,30160.0,No formal educational credential,82.1,0.81,"Cooks, fast food",High,35,Food Preparation,0.0,0.0,0.0,0.0,True,Declining,0.18,0.12
"        Cooks, institution and cafeteria",35-2012,466.1,475.4,9.3,2.0,36450.0,No formal educational credential,69.7,0.83,"Cooks, institution and cafeteria",High,35,Food Preparation,0.0,0.03201995520260639,0.0,0.016009977601303196,True,Growing,0.18,0.19
"        Cooks, private household",35-2013,34.2,36.0,1.7,5.1,44530.0,Postsecondary nondegree award,5.3,0.3,"Cooks, private household",Medium,35,Food Preparation,,0.07315210751374465,0.16666666666666666,0.11990938709020565,False,Growing,0.18,0.19
"        Cooks, restaurant",35-2014,1460.2,1677.2,217.0,14.9,36830.0,No formal educational credential,250.7,0.96,"Cooks, restaurant",High,35,Food Preparation,0.0,0.03395438810832824,0.0,0.01697719405416412,True,Growing,0.18,0.19
"        Cooks, short order",35-2015,151.1,142.7,-8.4,-5.6,35620.0,No formal educational credential,20.6,0.94,"Cooks, short order",High,35,Food Preparation,0.0,0.027794746487477096,0.0,0.013897373243738548,True,Declining,0.18,0.155
      Food preparation workers,35-2021,902.7,871.8,-30.9,-3.4,34220.0,No formal educational credential,148.0,0.87,Food preparation workers,High,35,Food Preparation,0.0,0.020667888413765018,0.0,0.010333944206882509,True,Declining,0.13,0.08
      Bartenders,35-3011,756.7,801.5,44.8,5.9,33530.0,No formal educational credential,129.6,0.77,Bartenders,High,35,Food Preparation,0.0,0.017155365506006937,0.0,0.008577682753003468,True,Growing,0.26,0.22
      Waiters and waitresses,35-3031,2329.7,2313.5,-16.3,-0.7,33760.0,No formal educational credential,456.7,0.94,Waiters and waitresses,High,35,Food Preparation,0.0,0.01832620647525962,0.0,0.00916310323762981,True,Declining,0.28,0.32
"      Food servers, nonrestaurant",35-3041,277.2,285.3,8.2,3.0,34460.0,No formal educational credential,48.0,0.86,"Food servers, nonrestaurant",High,35,Food Preparation,0.0,0.021889635512115646,0.0,0.010944817756057823,True,Growing,0.25,0.25
      Dining room and cafeteria attendants and bartender helpers,35-9011,527.4,560.6,33.1,6.3,32670.0,No formal educational credential,99.6,0.91,Dining room and cafeteria attendants and bartender helpers,High,35,Food Preparation,0.0,0.01277743840358378,0.0,0.00638871920179189,True,Growing,0.185,0.135
      Dishwashers,35-9021,477.7,478.6,0.9,0.2,33670.0,No formal educational credential,76.8,0.77,Dishwashers,High,35,Food Preparation,0.0,0.017868051313378125,0.0,0.008934025656689062,True,Growing,0.13,0.08
"      Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,429.9,423.5,-6.4,-1.5,30380.0,No formal educational credential,107.7,0.97,"Hosts and hostesses, restaurant, lounge, and coffee shop",High,35,Food Preparation,0.0,0.0011199348401547682,0.0,0.0005599674200773841,True,Declining,0.21,0.12
      First-line supervisors of housekeeping and janitorial workers,37-1011,269.8,276.4,6.7,2.5,47520.0,High school diploma or equivalent,33.0,0.94,First-line Supervisors of housekeeping and janitorial workers,High,37,Building & Grounds,1.0,0.08837304011402972,0.16666666666666666,0.1275198533903482,False,Growing,0.21000000000000002,0.22999999999999998
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,224.7,230.0,5.2,2.3,56170.0,High school diploma or equivalent,23.2,0.57,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Medium,37,Building & Grounds,1.0,0.13240684178375076,0.16666666666666666,0.1495367542252087,False,Growing,0.155,0.14500000000000002
"        Janitors and cleaners, except maids and housekeeping cleaners",37-2011,2447.7,2495.5,47.8,2.0,35930.0,No formal educational credential,351.3,0.66,"Janitors and cleaners, except maids and housekeeping cleaners",Medium,37,Building & Grounds,0.0,0.029372836489513332,0.0,0.014686418244756666,False,Growing,0.16666666666666666,0.18666666666666668
        Maids and housekeeping cleaners,37-2012,1356.8,1362.8,6.0,0.4,34660.0,No formal educational credential,193.5,0.69,Maids and housekeeping cleaners,Medium,37,Building & Grounds,0.0,0.022907758094074526,0.0,0.011453879047037263,False,Growing,0.13,0.12000000000000001
      Pest control workers,37-2021,102.4,107.5,5.1,4.9,44730.0,High school diploma or equivalent,13.4,0.66,Pest control workers,Medium,37,Building & Grounds,1.0,0.07417023009570353,0.16666666666666666,0.1204184483811851,False,Growing,0.13,0.14
      Landscaping and groundskeeping workers,37-3011,1192.5,1235.0,42.4,3.6,38090.0,No formal educational credential,158.2,0.95,Landscaping and groundskeeping workers,High,37,Building & Grounds,0.0,0.0403685603746691,0.0,0.02018428018733455,True,Growing,0.12,0.1
"      Pesticide handlers, sprayers, and applicators, vegetation",37-3012,29.6,30.7,1.1,3.8,45200.0,High school diploma or equivalent,4.1,0.97,"Pesticide handlers, sprayers, and applicators, vegetation",High,37,Building & Grounds,1.0,0.07656281816330687,0.16666666666666666,0.12161474241498677,True,Growing,0.13,0.14
      Tree trimmers and pruners,37-3013,60.1,62.1,2.0,3.3,50430.0,High school diploma or equivalent,7.4,0.77,Tree trimmers and pruners,High,37,Building & Grounds,1.0,0.10318672368153123,0.16666666666666666,0.13492669517409894,False,Growing,0.18,0.15
      Animal trainers,39-2011,47.3,49.8,2.4,5.1,38750.0,High school diploma or equivalent,7.1,0.1,Animal trainers,Low,39,Personal Care,1.0,0.043728364895133376,0.16666666666666666,0.10519751578090002,False,Growing,0.14,0.16
      Animal caretakers,39-2021,392.1,439.6,47.6,12.1,33470.0,High school diploma or equivalent,74.6,0.82,Nonfarm animal caretakers,High,39,Personal Care,1.0,0.016849928731419272,0.16666666666666666,0.09175829769904296,True,Growing,0.14,0.16
        Gambling dealers,39-3011,88.7,88.1,-0.6,-0.6,33280.0,High school diploma or equivalent,14.1,0.96,Gaming dealers,High,39,Personal Care,1.0,0.015882712278558336,0.16666666666666666,0.0912746894726125,True,Declining,0.45,0.52
        Gambling and sports book writers and runners,39-3012,8.2,7.7,-0.5,-6.1,30460.0,High school diploma or equivalent,1.2,0.91,Gaming and sports book writers and runners,High,39,Personal Care,1.0,0.0015271838729382925,0.16666666666666666,0.08409692526980247,True,Declining,0.45,0.52
      Motion picture projectionists,39-3021,2.0,2.0,-0.1,-3.7,38180.0,No formal educational credential,0.5,0.97,Motion picture projectionists,High,39,Personal Care,0.0,0.040826715536550595,0.0,0.020413357768275298,True,Declining,0.29,0.38
"      Ushers, lobby attendants, and ticket takers",39-3031,121.7,123.1,1.4,1.2,31150.0,No formal educational credential,30.8,0.96,"Ushers, lobby attendants, and ticket takers",High,39,Personal Care,0.0,0.005039706780696401,0.0,0.0025198533903482007,True,Growing,0.29,0.38
        Amusement and recreation attendants,39-3091,392.3,405.5,13.2,3.4,30490.0,No formal educational credential,102.4,0.72,Amusement and recreation attendants,High,39,Personal Care,0.0,0.0016799022602321245,0.0,0.0008399511301160623,True,Growing,0.235,0.27
        Costume attendants,39-3092,6.7,7.1,0.4,5.9,54810.0,High school diploma or equivalent,1.8,0.61,Costume attendants,Medium,39,Personal Care,1.0,0.12548360822643048,0.16666666666666666,0.14607513744654857,False,Growing,,
"        Locker room, coatroom, and dressing room attendants",39-3093,15.6,16.6,1.0,6.4,34800.0,High school diploma or equivalent,4.2,0.43,"Locker room, coatroom, and dressing room attendants",Medium,39,Personal Care,1.0,0.023620443901445742,0.16666666666666666,0.0951435552840562,False,Growing,0.29,0.38
        Embalmers,39-4011,3.6,3.7,0.0,1.3,56280.0,Associate's degree,0.6,0.54,Embalmers,Medium,39,Personal Care,3.0,0.1329668092038281,0.5,0.31648340460191404,False,Growing,0.17,0.11
      Funeral attendants,39-4021,32.5,33.5,1.0,3.1,34610.0,High school diploma or equivalent,5.7,0.37,Funeral attendants,Medium,39,Personal Care,1.0,0.022653227448584806,0.16666666666666666,0.09465994705762573,False,Growing,0.17,0.11
        Barbers,39-5011,76.0,79.2,3.1,4.1,38960.0,Postsecondary nondegree award,8.4,0.8,Barbers,High,39,Personal Care,,0.04479739360619017,0.16666666666666666,0.10573203013642841,True,Growing,0.17,0.22
"        Hairdressers, hairstylists, and cosmetologists",39-5012,575.2,607.4,32.2,5.6,35250.0,Postsecondary nondegree award,75.8,0.11,"Hairdressers, hairstylists, and cosmetologists",Low,39,Personal Care,,0.025911219710853195,0.16666666666666666,0.09628894318875993,False,Growing,0.175,0.22
"        Makeup artists, theatrical and performance",39-5091,7.0,7.6,0.6,8.1,50280.0,Postsecondary nondegree award,1.1,0.01,"Makeup artists, theatrical and performance",Low,39,Personal Care,,0.1024231317450621,0.16666666666666666,0.13454489920586438,False,Growing,0.18,0.22
        Manicurists and pedicurists,39-5092,210.1,224.8,14.7,7.0,34660.0,Postsecondary nondegree award,24.8,0.95,Manicurists and pedicurists,High,39,Personal Care,,0.022907758094074526,0.16666666666666666,0.09478721238037059,True,Growing,0.18,0.22
        Shampooers,39-5093,18.5,19.6,1.0,5.5,31470.0,No formal educational credential,2.7,0.79,Shampooers,High,39,Personal Care,0.0,0.006668702911830582,0.0,0.003334351455915291,True,Growing,0.18,0.22
        Skincare specialists,39-5094,97.4,103.9,6.6,6.7,41560.0,Postsecondary nondegree award,14.5,0.29,Skincare specialists,Low,39,Personal Care,,0.058032987171655476,0.16666666666666666,0.11234982691916107,False,Growing,0.18,0.22
      Baggage porters and bellhops,39-6011,32.5,32.0,-0.5,-1.6,36020.0,High school diploma or equivalent,4.6,0.83,Baggage porters and bellhops,High,39,Personal Care,1.0,0.029830991651394828,0.16666666666666666,0.09824882915903074,True,Declining,0.37,0.28
      Concierges,39-6012,45.6,46.7,1.1,2.3,37320.0,High school diploma or equivalent,6.8,0.21,Concierges,Low,39,Personal Care,1.0,0.036448788434127466,0.16666666666666666,0.10155772755039706,False,Growing,0.51,0.68
      Childcare workers,39-9011,991.6,962.4,-29.2,-2.9,32050.0,High school diploma or equivalent,160.2,0.084,Childcare workers,Low,39,Personal Care,1.0,0.009621258399511307,0.16666666666666666,0.08814396253308898,False,Declining,0.19,0.21
        Exercise trainers and group fitness instructors,39-9031,370.1,414.2,44.1,11.9,46180.0,High school diploma or equivalent,74.2,0.085,Fitness trainers and aerobics instructors,Low,39,Personal Care,1.0,0.0815516188149053,0.16666666666666666,0.12410914274078598,False,Growing,0.25,0.38
        Recreation workers,39-9032,327.7,341.1,13.4,4.1,35380.0,High school diploma or equivalent,68.1,0.0061,Recreation workers,Low,39,Personal Care,1.0,0.02657299938912644,0.16666666666666666,0.09661983302789655,False,Growing,0.21,0.12
      Residential advisors,39-9041,91.2,94.7,3.5,3.8,39180.0,High school diploma or equivalent,17.4,0.064,Residential advisors,Low,39,Personal Care,1.0,0.04591732844634494,0.16666666666666666,0.1062919975565058,False,Growing,0.21,0.12
      First-line supervisors of retail sales workers,41-1011,1432.6,1360.3,-72.3,-5.0,47320.0,High school diploma or equivalent,125.1,0.28,First-line supervisors of retail sales workers,Low,41,Sales,1.0,0.08735491753207086,0.16666666666666666,0.12701079209936877,False,Declining,0.36,0.42
      First-line supervisors of non-retail sales workers,41-1012,320.0,320.0,0.0,0.0,84130.0,High school diploma or equivalent,24.8,0.075,First-line supervisors of non-retail sales workers,Low,41,Sales,1.0,0.2747403787416005,0.16666666666666666,0.22070352270413357,False,Stable,0.49444444444444446,0.5633333333333334
        Cashiers,41-2011,3157.2,2843.6,-313.6,-9.9,31190.0,No formal educational credential,542.6,0.97,Cashiers,High,41,Sales,0.0,0.005243331297088177,0.0,0.0026216656485440887,True,Declining,0.39,0.26
        Gambling change persons and booth cashiers,41-2012,22.6,21.1,-1.5,-6.4,34810.0,No formal educational credential,4.0,0.83,Gaming change persons and booth cashiers,High,41,Sales,0.0,0.023671350030543686,0.0,0.011835675015271843,True,Declining,0.39,0.26
        Counter and rental clerks,41-2021,408.2,421.3,13.1,3.2,38540.0,No formal educational credential,45.9,0.97,Counter and rental clerks,High,41,Sales,0.0,0.04265933618407655,0.0,0.021329668092038276,True,Growing,,
        Parts salespersons,41-2022,272.1,280.6,8.5,3.1,37440.0,No formal educational credential,30.2,0.98,Parts salespersons,High,41,Sales,0.0,0.037059661983302794,0.0,0.018529830991651397,True,Growing,0.38,0.44
      Retail salespersons,41-2031,3936.7,3917.1,-19.6,-0.5,34580.0,No formal educational credential,555.8,0.92,Retail salespersons,High,41,Sales,0.0,0.022500509061290974,0.0,0.011250254530645487,True,Declining,0.38,0.44
      Advertising sales agents,41-3011,103.7,97.1,-6.6,-6.4,61460.0,High school diploma or equivalent,9.3,0.54,Advertising sales agents,Medium,41,Sales,1.0,0.15933618407656283,0.16666666666666666,0.16300142537161474,False,Declining,0.44,0.52
      Insurance sales agents,41-3021,568.8,589.8,21.1,3.7,60370.0,High school diploma or equivalent,47.0,0.92,Insurance sales agents,High,41,Sales,1.0,0.15378741600488696,0.16666666666666666,0.1602270413357768,False,Growing,0.53,0.46
"      Securities, commodities, and financial services sales agents",41-3031,514.5,531.6,17.1,3.3,78140.0,Bachelor's degree,38.1,0.016,"Securities, commodities, and financial services sales agents",Low,41,Sales,4.0,0.24424760741193238,0.6666666666666666,0.4554571370392995,False,Growing,0.535,0.62
      Travel agents,41-3041,65.7,67.2,1.4,2.2,48450.0,High school diploma or equivalent,7.1,0.099,Travel agents,Low,41,Sales,1.0,0.09310731012013845,0.16666666666666666,0.12988698839340257,False,Growing,0.5,0.63
"      Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,303.2,308.9,5.7,1.9,100070.0,Bachelor's degree,27.2,0.25,"Sales representatives, wholesale and manufacturing, technical and scientific products",Low,41,Sales,4.0,0.3558847485237223,0.6666666666666666,0.5112757075951945,False,Growing,0.5,0.5766666666666667
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,1310.5,1314.9,4.4,0.3,66780.0,High school diploma or equivalent,114.8,0.85,"Sales representatives, wholesale and manufacturing, except technical and scientific products",High,41,Sales,1.0,0.1864182447566687,0.16666666666666666,0.17654245571166768,False,Growing,0.49,0.63
        Demonstrators and product promoters,41-9011,79.2,79.1,-0.1,-0.1,37960.0,No formal educational credential,14.0,0.51,Demonstrators and product promoters,Medium,41,Sales,0.0,0.039706780696395855,0.0,0.019853390348197927,False,Declining,0.42,0.54
        Models,41-9012,6.7,6.7,0.0,-0.5,89990.0,No formal educational credential,1.2,0.98,Models,High,41,Sales,0.0,0.3045713703929953,0.0,0.15228568519649766,False,Declining,0.25,0.09
        Real estate brokers,41-9021,111.3,115.0,3.7,3.3,72280.0,High school diploma or equivalent,9.7,0.97,Real estate brokers,High,41,Sales,1.0,0.21441661576053758,0.16666666666666666,0.19054164121360212,False,Growing,0.35,0.38
        Real estate sales agents,41-9022,420.9,433.7,12.8,3.1,56320.0,High school diploma or equivalent,36.6,0.86,Real estate sales agents,High,41,Sales,1.0,0.1331704337202199,0.16666666666666666,0.14991855019344327,False,Growing,0.35,0.38
      Sales engineers,41-9031,56.8,59.9,3.1,5.5,121520.0,Bachelor's degree,5.0,0.0041,Sales engineers,Low,41,Sales,4.0,0.4650783954388109,0.6666666666666666,0.5658725310527388,False,Growing,0.51,0.55
      Telemarketers,41-9041,67.4,52.5,-14.9,-22.1,34410.0,No formal educational credential,6.5,0.99,Telemarketers,High,41,Sales,0.0,0.021635104866625954,0.0,0.010817552433312977,True,Declining,0.61,0.69
"        Door-to-door sales workers, news and street vendors, and related workers",41-9091,25.3,22.8,-2.5,-10.0,34530.0,No formal educational credential,2.7,0.94,"Door-to-door sales workers, news and street vendors, and related workers",High,41,Sales,0.0,0.022245978415801254,0.0,0.011122989207900627,True,Declining,0.3075,0.3025
      First-line supervisors of office and administrative support workers,43-1011,1558.4,1554.4,-3.9,-0.3,66140.0,High school diploma or equivalent,144.5,0.014,First-line supervisors of office and administrative support workers,Low,43,Office & Admin Support,1.0,0.18316025249440035,0.16666666666666666,0.1749134595805335,False,Declining,0.43,0.41
"      Switchboard operators, including answering service",43-2011,36.6,27.0,-9.6,-26.3,38370.0,High school diploma or equivalent,2.8,0.96,"Switchboard operators, including answering service",High,43,Office & Admin Support,1.0,0.04179393198941153,0.16666666666666666,0.1042302993280391,True,Declining,0.54,0.58
      Telephone operators,43-2021,4.0,2.9,-1.1,-27.5,39130.0,High school diploma or equivalent,0.3,0.97,Telephone operators,High,43,Office & Admin Support,1.0,0.04566279780085522,0.16666666666666666,0.10616473223376094,True,Declining,0.54,0.58
      Bill and account collectors,43-3011,166.9,149.4,-17.5,-10.5,46040.0,High school diploma or equivalent,13.7,0.95,Bill and account collectors,High,43,Office & Admin Support,1.0,0.08083893300753411,0.16666666666666666,0.12375279983710039,True,Declining,0.43,0.57
      Billing and posting clerks,43-3021,429.8,427.9,-1.9,-0.4,47170.0,High school diploma or equivalent,42.2,0.96,Billing and posting clerks,High,43,Office & Admin Support,1.0,0.0865913255956017,0.16666666666666666,0.12662899613113418,False,Declining,0.64,0.69
"      Bookkeeping, accounting, and auditing clerks",43-3031,1613.4,1519.1,-94.3,-5.8,49210.0,"Some college, no degree",170.0,0.98,"Bookkeeping, accounting, and auditing clerks",High,43,Office & Admin Support,2.0,0.09697617593158217,0.3333333333333333,0.21515475463245776,False,Declining,0.565,0.585
      Gambling cage workers,43-3041,14.1,13.4,-0.7,-5.0,36990.0,High school diploma or equivalent,1.3,0.39,Gaming cage workers,Medium,43,Office & Admin Support,1.0,0.03476888617389534,0.16666666666666666,0.100717776420281,False,Declining,0.45,0.52
      Payroll and timekeeping clerks,43-3051,161.1,134.2,-27.0,-16.7,55290.0,High school diploma or equivalent,13.0,0.97,Payroll and timekeeping clerks,High,43,Office & Admin Support,1.0,0.12792710242313174,0.16666666666666666,0.1472968845448992,False,Declining,0.61,0.62
      Procurement clerks,43-3061,61.9,56.6,-5.4,-8.7,48510.0,High school diploma or equivalent,4.6,0.98,Procurement clerks,High,43,Office & Admin Support,1.0,0.09341274689472612,0.16666666666666666,0.13003970678069637,False,Declining,0.6,0.68
      Tellers,43-3071,347.4,302.5,-44.9,-12.9,39340.0,High school diploma or equivalent,29.8,0.98,Tellers,High,43,Office & Admin Support,1.0,0.046731826511912045,0.16666666666666666,0.10669924658928935,True,Declining,0.58,0.72
      Brokerage clerks,43-4011,40.8,36.9,-3.9,-9.5,62940.0,High school diploma or equivalent,4.1,0.98,Brokerage clerks,High,43,Office & Admin Support,1.0,0.16687029118305843,0.16666666666666666,0.16676847892486255,False,Declining,0.64,0.66
      Correspondence clerks,43-4021,6.9,6.5,-0.4,-5.6,46740.0,High school diploma or equivalent,0.7,0.86,Correspondence clerks,High,43,Office & Admin Support,1.0,0.08440236204439014,0.16666666666666666,0.1255345143555284,True,Declining,0.6,0.72
"      Court, municipal, and license clerks",43-4031,180.4,185.9,5.5,3.0,47700.0,High school diploma or equivalent,18.5,0.46,"Court, municipal, and license clerks",Medium,43,Office & Admin Support,1.0,0.08928935043779271,0.16666666666666666,0.12797800855222968,False,Growing,0.43,0.63
"      Credit authorizers, checkers, and clerks",43-4041,12.0,11.3,-0.7,-6.2,49130.0,High school diploma or equivalent,1.0,0.97,"Credit authorizers, checkers, and clerks",High,43,Office & Admin Support,1.0,0.09656892689879862,0.16666666666666666,0.13161779678273264,False,Declining,0.64,0.66
      Customer service representatives,43-4051,2814.0,2660.3,-153.7,-5.5,42830.0,High school diploma or equivalent,341.7,0.55,Customer service representatives,Medium,43,Office & Admin Support,1.0,0.06449806556709428,0.16666666666666666,0.11558236611688047,False,Declining,0.58,0.72
"      Eligibility interviewers, government programs",43-4061,166.8,168.5,1.7,1.0,51500.0,High school diploma or equivalent,14.0,0.7,"Eligibility interviewers, government programs",High,43,Office & Admin Support,1.0,0.10863367949501121,0.16666666666666666,0.13765017308083893,False,Growing,0.435,0.515
